URL,Date,Remark,Title,Author,Type,Price,Summary,Publication Year,Language,ISBN,Category,Copyright,Contributors,Pages,Binding,Interior Color,Dimensions,Format,Keywords
https://www.lulu.com//shop/larry-lewis/kevin-samuels-the-life-and-death-of-an-image-consultant/ebook/product-d2vknz.html?q=samuels,2023-07-11,,Kevin Samuels  -  The Life and Death of an Image Consultant,Larry Lewis,Ebook,6.99,Kevin Samuels was a relationship guru that became famous for disrespecting women of color. This book touches on his life and what led to his demise.,2022,English,N/A,Personal Growth,All Rights Reserved - Standard Copyright License,By (author): Larry Lewis,,,,,EPUB,"['kevin samuels', 'relationship', 'relationships', 'guru', 'image consultant', 'death', 'dead', 'life', 'secret', 'lifestyle', 'hidden 9', 'hidden 9 society', 'h9s']"
https://www.lulu.com//shop/lionel-davids/ks-legacy-14-points-of-kevin-samuels-all-high-value-black-men-must-know/ebook/product-r9n68e.html?q=samuels,2023-07-11,,KS Legacy: 14 Points Of Kevin Samuels All High Value Black Men Must Know,Lionel Davids,Ebook,12.99,"""KS LEGACY: 14 Points Of Kevin Samuels For High Value Black Men"" is an excellent go to manual for men who are or desire to be a part of the CIA (Confident, Intelligent & Assertive) men and for young ladies who are FBI (Feminine, Beautiful & Intelligent) and FFF (Fit, Feminine & Friendly) looking to continue their road to greater success.",2022,English,9781387596782,Personal Growth,All Rights Reserved - Standard Copyright License,By (author): Lionel Davids,,,,,EPUB,"['Self Improvement', 'Dating & Relationships', 'Black Men', 'KS Legacy', '14 Points of Kevin Samuels', 'Black Manosphere', 'Manosphere', 'African American Mens Entreprenuership', 'Black Mens Fashion']"
https://www.lulu.com//shop/d-f-lewis/real-time-reviews-of-mark-samuels-jason-a-wyckoff-justin-isis-paul-meloy-michael-wehunt-mary-rickert-conrad-williams/paperback/product-1rzmzmgk.html?q=samuels,2023-07-11,,"REAL-TIME REVIEWS OF MARK SAMUELS, JASON A. WYCKOFF, JUSTIN ISIS, PAUL MELOY, MICHAEL WEHUNT, MARY RICKERT & CONRAD WILLIAMS",D F Lewis,Paperback,8.30,"My Gestalt Real-Time Reviews of MARK SAMUELS, JASON A. WYCKOFF, JUSTIN ISIS, PAUL MELOY, MICHAEL WEHUNT, MARY RICKERT & CONRAD WILLIAMS copied directly in black and white to print from their on-line versions.",2019,English,N/A,Fiction,All Rights Reserved - Standard Copyright License,By (author): D F Lewis,282,Paperback,Black & White,A5 (5.83 x 8.27 in / 148 x 210 mm),,"['Nemonymous', 'Weirdmonger']"
https://www.lulu.com//shop/lionel-davids/ks-legacy-14-points-of-kevin-samuels-all-high-value-black-men-must-know/hardcover/product-ek79vp.html?q=samuels,2023-07-11,,KS Legacy: 14 Points Of Kevin Samuels All High Value Black Men Must Know,Lionel Davids,Hardcover,23.00,"""KS LEGACY: 14 Points Of Kevin Samuels For High Value Black Men"" is an excellent go to manual for men who are or desire to be a part of the CIA (Confident, Intelligent & Assertive) men and for young ladies who are FBI (Feminine, Beautiful & Intelligent) and FFF (Fit, Feminine & Friendly) looking to continue their road to greater success. 
Get This Hardcover Classis Keepsake For The Up & Coming High Value Young Man In Your Life!
The Movement Has Just Begun!",2022,English,9781387904686,Personal Growth,All Rights Reserved - Standard Copyright License,By (author): Lionel Davids,29,Hardcover,Black & White,Digest (5.5 x 8.5 in / 140 x 216 mm),,"['Kevin Samuels', 'Image Consulting', 'Self Help', 'Black Men', 'Red Pill']"
https://www.lulu.com//shop/diane-samuels/kindertransport/paperback/product-1rg6v4gg.html?q=samuels,2023-07-11,Unverified,Kindertransport,Diane Samuels,Paperback,12.00,"For the stage. Between 1938 and 1939, a movement that became known as Kindertransport evacuated nearly 10,000 Jewish children from Germany to Britain. 
Most of the children were between ages 4 and 17; 
some were babies carried by children; none were accompanied by parents. In its particulars, the play Kindertransport is about a fictional child who was evacuated from Germany. It is about separation, 
about the choices we make in our attempts to keep our children safe, and about the reverberations of traumatic events through generations of a family. 


THEATRE - DRAMA
6 Characters: 5 Females – 1 Male 
1 set: Interior of a House",2010,English,9780557772957,Fiction,All Rights Reserved - Standard Copyright License,By (author): Diane Samuels,136,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['theatre', 'theater', 'plays', 'Jewish', 'Jewish plays', 'Jewish theatre', 'Jewish theater', 'British', 'Kindertransport', 'Germany', 'Nazi Germany', 'evacuation', 'Diane Samuels', 'World War II', 'Samuels', 'Holocaust', 'Britain', 'England', 'World War', 'Yom Hashoah', 'Holocaust plays']"
https://www.lulu.com//shop/marisa-samuels/stable-stories/paperback/product-1rgnnew7.html?q=samuels,2023-07-11,Unverified,Stable Stories,Marisa Samuels,Paperback,10.00,Marisa Samuels grew up in the colorful world of a Hollywood horse stable in the 1950s.  You'll find vibrant characters in a cultural setting in this treasure of a read; short stories collected in a tapestry with threads of yesterday.,2011,English,N/A,Biographies & Memoirs,All Rights Reserved - Standard Copyright License,By (author): Marisa Samuels,102,Paperback,Black & White,Pocket Book (4.25 x 6.875 in / 108 x 175 mm),,"['horses', 'holllywood', 'memoir', 'marisa samuels', 'neuroticy', 'kymberlie ingalls', 'rainfall press', 'musicians', 'actors', 'young adult', 'short stories', 'collection']"
https://www.lulu.com//shop/michael-samuels/glad-you-asked-that/paperback/product-1ggyv865.html?q=samuels,2023-07-11,Unverified,Glad You Asked That!,Michael Samuels,Paperback,14.97,"Glad You Asked That! By Michael Samuels, Esquire - Very interesting concepts and ideas from a real attorney.",2013,English,9781300717423,Law,All Rights Reserved - Standard Copyright License,By (author): Michael Samuels,49,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['law', 'legal questions']"
https://www.lulu.com//shop/shanny-samuels/what-lies-ahead/paperback/product-1wr4ynev.html?q=samuels,2023-07-11,Unverified,What Lies Ahead?,Shanny Samuels,Paperback,15.00,"The Beauty of Detroit meet the Beast of Chicago and together they are a force to be reckoned with. That is until hurricane Sandy came and disrupted the beautiful foundation and put what everyone sought to be their solid foundation to the test. With just a month left to graduation Tinyesha Better known as Tiny lost everything she'd thought she'd have forever, except for her best friend Sherri. Returning back home after graduation The Beauty is reunited with her best friend and her first love. Life couldn't get any better for the family until deja vu became the norm for Tiny and something Sherri knew all too well. Sex,Lies, Twists, Turns, and bridges burned. Who's left standing?",2017,English,9780692860366,Fiction,All Rights Reserved - Standard Copyright License,By (author): Shanny Samuels,110,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,[]
https://www.lulu.com//shop/daniel-g-samuels/new-testament-revelations-old-testament-sermons/paperback/product-17eer2mq.html?q=samuels,2023-07-11,Unverified,New Testament Revelations & Old Testament Sermons,Daniel G. Samuels,Paperback,10.69,"Dr. Daniel G. Samuels received psychic messages from Jesus of Nazareth and other celestial spirits during the period 1954 to 1966. These messages follow on from the work of medium James E. Padgett originally titled ""True Gospel Revealed Anew by Jesus"".
Dr. Samuels was born in Brooklyn of Russian parents on 18 May 1908, and passed into spirit at Long Beach, Nassau, New York in March 1982.",2017,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Daniel G. Samuels,386,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Jesus', 'Christ', 'Nazareth']"
https://www.lulu.com//shop/roy-samuels/sailing-through-good-times-and-bad/ebook/product-1wzd8d92.html?q=samuels,2023-07-11,Unverified,Sailing Through Good Times and Bad,Roy Samuels,Ebook,0.00,"The third in the trilogy of ""Sailing Through"" stories about life from 1933 to 1993. Moving events from the life and times of Roy Samuels.",2011,English,N/A,Biographies & Memoirs,All Rights Reserved - Standard Copyright License,By (author): Roy Samuels,,,,,PDF,"['1930s', '1990s', 'Ireland', 'England']"
