URL,Title,Author,Type,Price,Summary,Publication Year,Language,ISBN,Category,Copyright,Contributors,Pages,Binding,Interior Color,Dimensions,Format,Keywords
https://www.lulu.com//shop/ta-yi-lin/visiting-harvard-university-20045-20056/paperback/product-1yvpg2q.html?q=Harvard+University,Visiting Harvard University 2004.5 - 2005.6,Ta-Yi Lin,Paperback,16.89,It's a book to introduce Harvard University to the Chinese who want to visit Boston at the first time.,2006,English,N/A,Travel & Adventure,All Rights Reserved - Standard Copyright License,By (author): Ta-Yi Lin,120,Paperback,Black & White,Pocket Book (4.25 x 6.875 in / 108 x 175 mm),,"['Harvard', 'Devotion School']"
https://www.lulu.com//shop/ta-yi-lin/visiting-harvard-university-20045-20056/ebook/product-14npgy65.html?q=Harvard+University,Visiting Harvard University 2004.5 - 2005.6,Ta-Yi Lin,Ebook,9.99,It's a book to introduce Harvard University to the Chinese who want to visit Boston at the first time.,2011,English,N/A,Travel & Adventure,All Rights Reserved - Standard Copyright License,By (author): Ta-Yi Lin,,,,,PDF,"['Harvard', 'Devotion School']"
https://www.lulu.com//shop/eugen-kuehnemann/charles-w-eliot-president-of-harvard-university/paperback/product-eg9ze9.html?q=Harvard+University,Charles W. Eliot: President of Harvard University,Eugen Kuehnemann,Paperback,15.00,"Charles W. Eliot, famed president of Harvard University from 1869 to 1909 and editor of the Harvard Classics series, was a living monument to America's Progressive Era.

This short and congratulatory biography by German scholar Eugen Kuehnemann documents the achievements and paints a portrait of the mind of the seminar Progressive thinker and reformer of higher education, Charles W. Eliot.",2022,English,N/A,Biographies & Memoirs,No Known Copyright (Public Domain),By (author): Eugen Kuehnemann,106,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['progressive', 'harvard', 'education', 'university', 'reform']"
https://www.lulu.com//shop/richard-estes/three-books-at-richardson-ms-at-harvard-university/paperback/product-1jn9w29g.html?q=Harvard+University,THREE BOOKS AT RICHARDSON MS AT HARVARD UNIVERSITY,RICHARD ESTES,Paperback,35.00,"Three Books at Richardson MS at Harvard University. MS 4 is the Psalter about 1400, use see 4 pages. MS 21 is the Notes on Matthew and Mark by Albertus Magnus about 1430, you see 31 pages. MS 30 is the Psalter about 1300, you see 10 pages. From these three books you see the special pages. It is very beautiful special pages on MS 21.",2012,English,9781105594588,History,All Rights Reserved - Standard Copyright License,By (author): RICHARD ESTES,54,Paperback,Color,US Letter (8.5 x 11 in / 216 x 279 mm),,['Three Books Richardson']
https://www.lulu.com//shop/richard-estes/gutenberg-bible-at-harvard-university-at-cambridge-mass/paperback/product-1reg6m9d.html?q=Harvard+University,"GUTENBERG BIBLE AT HARVARD UNIVERSITY AT CAMBRIDGE, MASS.",RICHARD ESTES,Paperback,35.00,"In this Book you see, first information on the Gutenberg Bible 18-P. It came out in the Gutenberg-Jahrbuch 2000, pages 64-72. It was called: To the Early History of the Harvard Gutenberg Bible by Gisela Gerritsen-Geywitz. It came out as German and I made it into English. Recently, the Harvard University came out with 29 pictures from that Gutenberg Bible. Now you will see these beautiful pictures from this Gutenberg Bible 18-P. All profit goes to this Library.",2012,English,9781105596636,History,All Rights Reserved - Standard Copyright License,By (author): RICHARD ESTES,55,Paperback,Color,US Letter (8.5 x 11 in / 216 x 279 mm),,['Gutenberg Bible 18-P']
https://www.lulu.com//shop/christina-geros-and-mitch-crowder/harvard-university-graduate-school-of-design-elements-of-urban-design-the-lincoln-tunnel-2012/paperback/product-14mjpzkd.html?q=Harvard+University,Harvard University Graduate School of Design: Elements of Urban Design - The Lincoln Tunnel 2012,Mitch Crowder,Paperback,79.60,"A compilation of student work from the Graduate School of Design at Harvard University.  The work is the combined efforts of first year Master of Architecture in Urban Design candidates in their core studio.  The studio's focus investigated the two ends of the Lincoln Tunnel connecting New Jersey to Manhattan.  The two sites under investigation were the Port Authority Bus Terminal in Manhattan and the Helix in Weehawken, New Jersey.",2013,English,9781304610485,Art & Photography,All Rights Reserved - Standard Copyright License,"By (author): Mitch Crowder, By (author): Christina Geros",252,Paperback,Color,Crown Quarto (7.44 x 9.68 in / 189 x 246 mm),,['Design Studio Work']
https://www.lulu.com//shop/richard-estes/apocalypsis-revelation-by-johannes-evangelista-printed-by-anton-koberger-at-nuremberg-germany-in-1498-houghton-library-at-harvard-university-at-cambridge-mass/paperback/product-1pegvm6k.html?q=Harvard+University,"Apocalypsis  (Revelation) by Johannes Evangelista & printed by Anton Koberger at Nuremberg, Germany in 1498 - Houghton Library at Harvard University at Cambridge, Mass.",Richard Estes,Paperback,40.00,"Book #521: Apocalypsis (Revelation) cum figuris by Johannes Evangelista & printed by Anton Koberger at Nuremberg, Germany in 1498. Woodcuts were done by Albrecht Durer. There are 11 Books in libraries today. Complete has 10 and imperfect has 1. I am using the Book at the Houghton Library at Harvard University at Cambridge, Mass. It is a complete Book. It is the best copy I have seen! All profit goes to that Library!",2013,English,9781300647058,History,All Rights Reserved - Standard Copyright License,By (author): Richard Estes,70,Paperback,Color,US Letter (8.5 x 11 in / 216 x 279 mm),,['Apocalypsis (Revelation) 1498']
https://www.lulu.com//shop/marcus-aurelius-richarde/thriller-at-harvard/ebook/product-1z4jmmwj.html?q=Harvard+University,Thriller  At  Harvard,Marcus Aurelius Richarde,Ebook,6.99,"Thriller At Harvard follows Dave and his friends, and their lives at the favored Ivy League university. Dave is a runningback on the football team and is being stalked by a hoodied figure that is connected to several murders of football players in greater Boston. And the murders grow closer to Harvard each time. Come see the inside view of Harvard University and its environs. See what's up with well developed characters: Kelly(roommate), and other friends Lionel(football star), Johny(local boy made good), and last but not least Katie- his love interest. Travel around the campus, to class, around famous Harvard Yard, Harvard Square and more! Be a part of homecoming, an epic football matchup against the Princeton Tigers, the annual world famous Head of the Charles Regatta just to name a few. Will Dave get the girl or not? Will the hoodie get Dave or vise-versa? Will Dave survive? Read Thriller At Harvard to find out...",2016,English,9781365253720,Fiction,All Rights Reserved - Standard Copyright License,By (author): Marcus Aurelius Richarde,,,,,EPUB,"['thriller', 'harvard', 'insider', 'college']"
https://www.lulu.com//shop/eduardo-llinas-meseguer-and-savina-romanos/harvard-gsd-elements-of-urban-design-2011-brooklyn/paperback/product-1dmzz4g6.html?q=Harvard+University,Harvard GSD Elements of Urban Design 2011: Brooklyn,Savina Romanos,Paperback,52.00,Harvard University Graduate School of Design Core Studio in Urban Design: Elements of Urban Design 2011 / Brooklyn,2012,English,9781300470199,Reference,All Rights Reserved - Standard Copyright License,"By (author): Savina Romanos, By (author): Eduardo Llinas Meseguer",205,Paperback,Color,Crown Quarto (7.44 x 9.68 in / 189 x 246 mm),,"['Harvard', 'GSD', 'Urban Design']"
https://www.lulu.com//shop/satire-v/how-to-get-into-harvard/paperback/product-19kzme6n.html?q=Harvard+University,How to Get Into Harvard,Satire V,Paperback,9.99,"They say, “Give a man a fish and you feed him for a day; teach a man to fish and you feed him for a lifetime.” But fish won’t help you get into Harvard. This book will.

Satire V presents: How to Get Into Harvard, the most comprehensive how-to guide on college admissions.

Are you a bright-eyed high school student? This book’s for you!  Are you a bored college student, procrastinating for a paper and restless to relive one of the most agonizing years of your life? That’s great, too! From newly uncovered secrets of the Admissions Office to strategies on scoring a 2500 on the SAT, this book spares no details. Best of all, it’s written by REAL Harvard students. So why don’t you take a look inside?",2015,English,9780578166353,Humor,All Rights Reserved - Standard Copyright License,By (author): Satire V,90,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['How to', 'How to book', 'Harvard University', 'Harvard College', 'Harvard', 'University', 'College', 'High school', 'Admissions', 'Harvard guide book']"
