Title,Author,Type,Price,Summary,Publication Year,Language,ISBN,Category,Copyright,Contributors,Pages,Binding,Interior Color,Dimensions,Format,Keywords,URL
"The Legends of the Jews : Bible Times and Characters from the Exodus to the Death of Moses, Volume III (Illustrated)",Louis Ginzberg,Ebook,USD 1.99,"In the present work, ""The Legends of the Jews,"" I have made the first attempt to gather from the original sources all Jewish legends, in so far as they refer to Biblical personages and events, and reproduce them with the greatest attainable completeness and accuracy. I use the expression Jewish, rather than Rabbinic, because the sources from which I have levied contributions are not limited to the Rabbinic literature. As I expect to take occasion elsewhere to enter into a description of the sources in detail, the following data must suffice for the present.",2013,English,9781304017468,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Louis Ginzberg,,,,,EPUB,"['Legends of Jews', 'Bible Times', 'Characters', 'Exodus', 'Death of Moses']",https://www.lulu.com//shop/louis-ginzberg/the-legends-of-the-jews-bible-times-and-characters-from-the-exodus-to-the-death-of-moses-volume-iii-illustrated/ebook/product-1wv7v22j.html?q=louis+ginzberg
The Legends of the Jews I,Louis Ginzberg,Paperback,USD 25.00,"Volume 1- 300 Pages. This is a massive collation of the Haggada--the traditions which have grown up surrounding the Biblical narrative. These stories and bits of layered detail are scattered throughout the Talmud and the Midrash, and other sources, including oral. In the 19th century Ginzberg undertook the task of arranging the Haggada into chronological order, and this series of volumes was the result. When God bestowed Paradise upon the first pair of mankind, He warned them particularly against carnal intercourse with each other. But after the fall of Eve, Satan, in the guise of the serpent, approached her, and the fruit of their union was Cain, the ancestor of all the impious generations that were rebellious toward God, and rose up against Him. Cain’s descent from Satan, who is the angel Samael, was revealed in his seraphic appearance. At his birth, the exclamation was wrung from Eve, “I have gotten a man through an angel of the Lord.”",2017,English,9781387467181,History,All Rights Reserved - Standard Copyright License,By (author): Louis Ginzberg,410,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Legends of Jews', 'Louis Ginzberg', 'serpent seed creation', 'story flat earth', 'geocentric cosmology', 'Joshua', 'sun standing still', 'Esther']",https://www.lulu.com//shop/louis-ginzberg/the-legends-of-the-jews-i/paperback/product-1mk59qjg.html?q=louis+ginzberg
THE LEGENDS OF THE JEWS,Louis Ginzberg,Ebook,USD 0.00,"THE LEGENDS OF THE JEWS
Volumes I ~ IV
Bible Times And Characters
From The Creation To Esther

732 p.p.  (8.5"" X 11"")

This is a massive collation of the Haggada - the traditions which have grown up surrounding the Biblical narrative. 

These stories and bits of layered detail are scattered throughout the Talmud and the Midrash, and other sources, including oral. 

In the 19th century Ginzberg undertook the task of arranging the Haggada into chronological order, and this was the result.",2011,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Louis Ginzberg,,,,,PDF,['Jewish Legends'],https://www.lulu.com//shop/louis-ginzberg/the-legends-of-the-jews/ebook/product-1epz9242.html?q=louis+ginzberg
The Legends of the Jews IV,Louis Ginzberg,Paperback,USD 25.00,"This is a massive collation of the Haggada--the traditions which have grown up surrounding the Biblical narrative. These stories and bits of layered detail are scattered throughout the Talmud and the Midrash, and other sources, including oral. In the 19th century Ginzberg undertook the task of arranging the Haggada into chronological order, and this series of volumes was the result. Jacob was not exempt from the lot that falls to the share of all the pious. Whenever they expect to enjoy life in tranquillity, Satan hinders them. He appears before God, and says: ""Is it not enough that the future world is set apart for the pious? What right have they to enjoy this world, besides?""",2017,English,9781387467280,History,All Rights Reserved - Standard Copyright License,By (author): Louis Ginzberg,412,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Legends of Jews', 'Louis Ginzberg', 'serpent seed creation', 'story flat earth', 'geocentric cosmology', 'Joshua', 'sun standing still', 'Esther']",https://www.lulu.com//shop/louis-ginzberg/the-legends-of-the-jews-iv/paperback/product-15vjm69e.html?q=louis+ginzberg
The Legends of the Jews II,Louis Ginzberg,Paperback,USD 25.00,"This is a massive collation of the Haggada--the traditions which have grown up surrounding the Biblical narrative. These stories and bits of layered detail are scattered throughout the Talmud and the Midrash, and other sources, including oral. In the 19th century Ginzberg undertook the task of arranging the Haggada into chronological order, and this series of volumes was the result. Jacob was not exempt from the lot that falls to the share of all the pious. Whenever they expect to enjoy life in tranquillity, Satan hinders them. He appears before God, and says: ""Is it not enough that the future world is set apart for the pious? What right have they to enjoy this world, besides?""",2017,English,9781387467259,History,All Rights Reserved - Standard Copyright License,By (author): Louis Ginzberg,358,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Legends of Jews', 'Louis Ginzberg', 'serpent seed creation', 'story flat earth', 'geocentric cosmology', 'Joshua', 'sun standing still', 'Esther']",https://www.lulu.com//shop/louis-ginzberg/the-legends-of-the-jews-ii/paperback/product-1jqj4q82.html?q=louis+ginzberg
The Legends of the Jews III,Louis Ginzberg,Paperback,USD 30.00,"This is a massive collation of the Haggada--the traditions which have grown up surrounding the Biblical narrative. These stories and bits of layered detail are scattered throughout the Talmud and the Midrash, and other sources, including oral. In the 19th century Ginzberg undertook the task of arranging the Haggada into chronological order, and this series of volumes was the result. Jacob was not exempt from the lot that falls to the share of all the pious. Whenever they expect to enjoy life in tranquillity, Satan hinders them. He appears before God, and says: ""Is it not enough that the future world is set apart for the pious? What right have they to enjoy this world, besides?""",2017,English,9781387467228,History,All Rights Reserved - Standard Copyright License,By (author): Louis Ginzberg,464,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Legends of Jews', 'Louis Ginzberg', 'serpent seed creation', 'story flat earth', 'geocentric cosmology', 'Joshua', 'sun standing still', 'Esther']",https://www.lulu.com//shop/louis-ginzberg/the-legends-of-the-jews-iii/paperback/product-1jqj4qwe.html?q=louis+ginzberg
The Legends of the Jews II,Louis Ginzberg,Hardcover,USD 45.00,"This is a massive collation of the Haggada--the traditions which have grown up surrounding the Biblical narrative. These stories and bits of layered detail are scattered throughout the Talmud and the Midrash, and other sources, including oral. In the 19th century Ginzberg undertook the task of arranging the Haggada into chronological order, and this series of volumes was the result. Jacob was not exempt from the lot that falls to the share of all the pious. Whenever they expect to enjoy life in tranquillity, Satan hinders them. He appears before God, and says: ""Is it not enough that the future world is set apart for the pious? What right have they to enjoy this world, besides?""",2020,English,9781794851689,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Louis Ginzberg,358,Hardcover,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Legends of Jews', 'Louis Ginzberg', 'serpent seed creation', 'story flat earth', 'geocentric cosmology', 'Joshua', 'sun standing still', 'Esther']",https://www.lulu.com//shop/louis-ginzberg/the-legends-of-the-jews-ii/hardcover/product-1y5gvzpz.html?q=louis+ginzberg
"The Legends of the Jews : Bible Times and Characters from the Creation to Jacob, Volume I (Illustrated)",Louis Ginzberg,Ebook,USD 1.99,"In the present work, ""The Legends of the Jews,"" I have made the first attempt to gather from the original sources all Jewish legends, in so far as they refer to Biblical personages and events, and reproduce them with the greatest attainable completeness and accuracy. I use the expression Jewish, rather than Rabbinic, because the sources from which I have levied contributions are not limited to the Rabbinic literature. As I expect to take occasion elsewhere to enter into a description of the sources in detail, the following data must suffice for the present.",2013,English,9781304017321,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Louis Ginzberg,,,,,EPUB,"['Legends of Jews', 'Bible Times', 'Characters', 'Creation to Jacob']",https://www.lulu.com//shop/louis-ginzberg/the-legends-of-the-jews-bible-times-and-characters-from-the-creation-to-jacob-volume-i-illustrated/ebook/product-14m8md82.html?q=louis+ginzberg
The Legends of the Jews III,Louis Ginzberg,Hardcover,USD 45.00,"This is a massive collation of the Haggada--the traditions which have grown up surrounding the Biblical narrative. These stories and bits of layered detail are scattered throughout the Talmud and the Midrash, and other sources, including oral. In the 19th century Ginzberg undertook the task of arranging the Haggada into chronological order, and this series of volumes was the result. Jacob was not exempt from the lot that falls to the share of all the pious. Whenever they expect to enjoy life in tranquillity, Satan hinders them. He appears before God, and says: ""Is it not enough that the future world is set apart for the pious? What right have they to enjoy this world, besides?""",2020,English,9781794853621,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Louis Ginzberg,464,Hardcover,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Legends of Jews', 'Louis Ginzberg', 'Esther']",https://www.lulu.com//shop/louis-ginzberg/the-legends-of-the-jews-iii/hardcover/product-1n7mv89r.html?q=louis+ginzberg
The Legends of the Jews IV,Louis Ginzberg,Hardcover,USD 45.00,"This is a massive collation of the Haggada--the traditions which have grown up surrounding the Biblical narrative. These stories and bits of layered detail are scattered throughout the Talmud and the Midrash, and other sources, including oral. In the 19th century Ginzberg undertook the task of arranging the Haggada into chronological order, and this series of volumes was the result. Jacob was not exempt from the lot that falls to the share of all the pious. Whenever they expect to enjoy life in tranquillity, Satan hinders them. He appears before God, and says: ""Is it not enough that the future world is set apart for the pious? What right have they to enjoy this world, besides?""",2020,English,9781794853676,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Louis Ginzberg,412,Hardcover,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Legends of Jews', 'Louis Ginzberg']",https://www.lulu.com//shop/louis-ginzberg/the-legends-of-the-jews-iv/hardcover/product-124rm9nv.html?q=louis+ginzberg
